text,label,intent_name
Why wasn't my payment to beneficiary X approved?,7,beneficiary_not_allowed
What to do if my card is about to expire?,9,card_about_to_expire
You can use it anywhere that accepts Mastercard.,10,card_acceptance
I need to freeze my card as soon as possible. I just checked my account and saw that there have been several payments that I don't recognize over the course of a few days. Can we investigate and get my money back?,16,card_payment_not_recognised
Hi something is going on with the app.  I see some payments I didn't make?,16,card_payment_not_recognised
"If the ATM only gave me 10 pounds instead of the 30 I requested, what do I do?",75,wrong_amount_of_cash_received
No refund showing in my statement.,51,Refund_not_showing_up
I am reluctant to use ATMs international because I don't get an accurate exchange rate,76,wrong_exchange_rate_for_cash_withdrawal
I can't find the virtual card,40,getting_virtual_card
Why won't cash come out of the ATM?,26,declined_cash_withdrawal
What do I do if I cannot access the app?,42,lost_or_stolen_phone
Is exchanging currencies one of your app services?,33,exchange_via_app
What is the appropriate age for my child to be able to open an account?,1,age_limit
Why was my withdrawal requested cancelled by the ATM?,26,declined_cash_withdrawal
Are there any limits to were my card is accepted?,10,card_acceptance
I would like to use one of my cards for a family member. Is that allowed?,39,getting_spare_card
Can I have a second card issued to another family member?,39,getting_spare_card
I can not find my refund.,51,Refund_not_showing_up
I need to cancel a transaction immediately.,8,cancel_transfer
How can I dispute a direct debit charge on my account?,28,direct_debit_payment_not_recognised
"I got a card, how do I get it in the app?",13,card_linking
I checked my account today and saw that I was charged an extra pound that I did not spend.,34,extra_charge_on_statement
"I prefer Visa, can I get that instead?",73,visa_or_mastercard
What are the fees for using a European bank card?,57,top_up_by_card_charge
why isn't my top-up going through?,47,pending_top_up
What is the time period for money to be transferred?,67,transfer_timing
"I was told to verify my identity, how do I do that?",69,verify_my_identity
I was unable to transfer to another account.,7,beneficiary_not_allowed
It is common for an international transfer to take 2 days or longer? I made a transfer from France 2 days ago and I have not seen it yet.,5,balance_not_updated_after_bank_transfer
Where can I order a card when I am in China?,9,card_about_to_expire
What do I need to do to get my new card which I have requested 2 weeks ago?,11,card_arrival
I want to use a cheque to pay.,58,top_up_by_cash_or_cheque
Can I track my card while it is in the process of delivery?,11,card_arrival
I withdrew $100 but only received $20,75,wrong_amount_of_cash_received
I believe my top up has failed,59,top_up_failed
"|I moved out of my old house two weeks ago and cancelled my direct debit to my old landlord, this direct debit was working fine.  Now I've moved in to a new place and set up a transfer to a new landlord but it's not reached her yet, can you check it please?",66,transfer_not_received_by_recipient
How can i get a refund for something i just bought?,52,request_refund
The ATM didn't give me what I asked for but my balance says it did,75,wrong_amount_of_cash_received
I am missing my refund.,51,Refund_not_showing_up
Are you aware of any charges for receiving money?,56,top_up_by_bank_transfer_charge
"I do not need GBP, I need AUD, how do I convert it?",33,exchange_via_app
What fees are there for adding money using an international card,57,top_up_by_card_charge
When I topped up the app has seemed to reverted it.,61,top_up_reverted
Have a payment that I haven't done.,16,card_payment_not_recognised
My phone has been stolen.  How can I make sure no one uses my account from it?,42,lost_or_stolen_phone
Who can I speak with regarding a lost card?,41,lost_or_stolen_card
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",63,transaction_charged_twice
Can I use my virtual card to complete transactions for memberships?,72,virtual_card_not_working
Can you see my new balance yet?,5,balance_not_updated_after_bank_transfer
How do I link the new card that I just got from you guys?,13,card_linking
"My card is showing a fee from when I used it, but I thought this card was supposed to be fee free?",15,card_payment_fee_charged
Are SWIFT Transfers available at this bank?,56,top_up_by_bank_transfer_charge
There's an unauthorized cash withdraw,20,cash_withdrawal_not_recognised
Why am I unable to verify my id?,68,unable_to_verify_identity
What happens when a payment is reverted?,53,reverted_card_payment?
Can I get my money back on an item?,52,request_refund
I'm in China and need a new card. Please help.,9,card_about_to_expire
"This is not right, I was told I could take out cash at the ATM for free?",19,cash_withdrawal_charge
Let me know when I get charged extra for payments. I saw on the app a fee I wasn't forewarned about.,15,card_payment_fee_charged
I see a direct debit transaction that I didn't make.,28,direct_debit_payment_not_recognised
"My money's disappeared from my account! I topped up the other day and it was there, but now it's not. Help?",61,top_up_reverted
Why does it say my transfer failed?,35,failed_transfer
I don't understand why my payment was declined. I thought everything was ok.,25,declined_card_payment
"No transactions are being accepted, what's wrong with my card?",14,card_not_working
"I made a cash deposit, but it hasn't shown up in my balance yet.",6,balance_not_updated_after_cheque_or_cash_deposit
How do I edit my personal details?,30,edit_personal_details
A few hours ago I made a bank transfer from my UK account but I don't see that it has arrived.   Can you check and see if all is ok please?,5,balance_not_updated_after_bank_transfer
Which fiat currencies are supported?,36,fiat_currency_support
How do I find my PIN?,38,get_physical_card
Why would a merchant revert my payment?,53,reverted_card_payment?
Can I have my account add money automatically in certain intervals?,4,automatic_top_up
Where do I order a card?,43,order_physical_card
What can I do if my passcode won't work?,44,passcode_forgotten
My identity verification didn't work,68,unable_to_verify_identity
What foreign exchange rate will I get on weekdays and on the weekends?,32,exchange_rate
Are you available in my country?,24,country_support
can my husband open an account and transfer money,50,receiving_money
How do I report fraud on my card?,22,compromised_card
Why is it failing to top-up?,59,top_up_failed
Will you be adding more currencies in the future?,36,fiat_currency_support
How do I verify the top-up card?,71,verify_top_up
What are the steps for my friend to send me money?,50,receiving_money
I would like to cancel my account.,55,terminate_account
I used the ATM to get money out and did not realize I would be charged as much as I was or I would not have done that!,76,wrong_exchange_rate_for_cash_withdrawal
You charged me more than once for the same transaction!,63,transaction_charged_twice
"Three months ago I bought a new house for my cat, fluffy.  Unfortunately Fluffy was not a fan of the house and it had to be returned to Pet Smart last week.  They said they have sent a refund but it's not there, can you tell me where it is?",51,Refund_not_showing_up
Is my PIN the same thing as my passcode?,38,get_physical_card
Would I be able to open an account for my daughter?,1,age_limit
Could you please tell me why my card payment didn't work?,25,declined_card_payment
"Hi need your help for getting the refund or cancel the payment of an item, i have ordered but still have not received it.",52,request_refund
What are the countries that you operate in?,24,country_support
How many transactions can be made with a disposable card?,29,disposable_card_limits
Why can I not make a transfer?,35,failed_transfer
The cheque I deposited isn't showing in my account,6,balance_not_updated_after_cheque_or_cash_deposit
Can I see where my money is being transferred from?,70,verify_source_of_funds
Im trying to top up my card but it's still pending and it's been an hour. Is there any way to make it go through faster? Do I not have enough?,47,pending_top_up
"I'm interested in holding and exchange for flat currencies, what do you support?",36,fiat_currency_support
Why did the funds not transfer to another recipient?,66,transfer_not_received_by_recipient
I needed $100 but all it gave me was $20.,75,wrong_amount_of_cash_received
please cancel the transaction,8,cancel_transfer
I have no idea why but my transfers keep getting declined. I have double checked all the recipient details several times already and they're definitely correct.,27,declined_transfer
Are there any fiat currencies that you will not work with?,36,fiat_currency_support
How come my money hasn't shown up yet?,66,transfer_not_received_by_recipient
I haven't received my card and am worried it is lost.,11,card_arrival
How do i set up auto top-up?,4,automatic_top_up
Why is there a random payment in my statement?,16,card_payment_not_recognised
What is the top-up limit for my card?,60,top_up_limits
I am just waiting for the transaction to be completed.,66,transfer_not_received_by_recipient
Do you allow currency exchanges?,36,fiat_currency_support
"Hi, I just looked at my card transactions and saw that I've been charged twice for a restaurant I went to this week. Can you remove the double charge, please?",63,transaction_charged_twice
The card payment I attempted to make failed.,25,declined_card_payment
Why can't I withdraw money?,26,declined_cash_withdrawal
What happens if my card expires?,9,card_about_to_expire
Cash I did not get showed up in my account,20,cash_withdrawal_not_recognised
I see a direct debit transaction in the app that is not mine,28,direct_debit_payment_not_recognised
"My phone was stolen, what should I do first?",42,lost_or_stolen_phone
"i have been trying to add money with apple pay but it wont work, why?",2,apple_pay_or_google_pay
I think I may have been charged $1 extra on my app.  Could you provide some insight as to why this may have happened?,34,extra_charge_on_statement
Are there virtual cards,40,getting_virtual_card
I need a disposable virtual card. Please tell me how to order one.,37,get_disposable_virtual_card
"Help, I don't know what the PIN is to my card?",38,get_physical_card
What are the disposable cards for?,37,get_disposable_virtual_card
What can I do if I lost my card?,41,lost_or_stolen_card
After I transferred money the balance remained the same.,5,balance_not_updated_after_bank_transfer
Can I add money to top up my account via a bank transfer?,65,transfer_into_account
I can't find my PIN anywhere.,38,get_physical_card
Is it possible to order a virtual card?,40,getting_virtual_card
what are your exchange rates at?,32,exchange_rate
I am unable to transfer money. I believe it is not working because it states it was declined.,27,declined_transfer
What currencies can I use to top up my account?,65,transfer_into_account
I made a transaction this morning but I need to revert it now.,8,cancel_transfer
disposable virtual card can be ordered where?,37,get_disposable_virtual_card
When will my top-up go through?,47,pending_top_up
I think I am having an issue with withdraws on my card. It was declined on the way to work this morning. This hasn't happened in the past.,26,declined_cash_withdrawal
What is the reason my cash withdrawal is still pending?,46,pending_cash_withdrawal
Why didn't my payment process,45,pending_card_payment
Who do I make a check out to if I want to top off my account?,58,top_up_by_cash_or_cheque
"Hi, Please help me to request cash back. As i have been withdrawn money from ATM, but i got wrong amount. in Application its showing the amount i have been charged through.",75,wrong_amount_of_cash_received
"You can activate your card in a few seconds by going to account, hitting activate, and just following the directions.",0,activate_my_card
Explain pending transactions.,46,pending_cash_withdrawal
How do I cancel a recent transfer?,8,cancel_transfer
I just got a new card how do I get it to start working?,0,activate_my_card
Why hasn't my top-up finished pending yet?,47,pending_top_up
I checked on google and the exchange rate you are using is really bad. Can you update it?,17,card_payment_wrong_exchange_rate
My refund isn't going fast enough.,51,Refund_not_showing_up
Why can I not do a transfer to a beneficiary?,7,beneficiary_not_allowed
"In regards to top-ups, can I do them via Google Pay?",2,apple_pay_or_google_pay
What cards do you accept to top up my account?,54,supported_cards_and_currencies
My card did not go through in a shop,25,declined_card_payment
How long does it take for a top up to go through,47,pending_top_up
Card payment still pending.,45,pending_card_payment
What should I do if my passcode won't work?,44,passcode_forgotten
I can't input my pin again.,49,pin_blocked
I exchange currencies a lot.  Can I get a discount?,31,exchange_charge
my phone has been stolen by someone,42,lost_or_stolen_phone
"Why won't you take my transfer, I keep getting an error message.",7,beneficiary_not_allowed
My card appears to have never arrived?,11,card_arrival
Why is the transaction not posting?,48,pending_transfer
Will I be able to track the card that was sent to me?,11,card_arrival
I purchased an item and the exchange rate was wrong,17,card_payment_wrong_exchange_rate
Is there a reason my new card hasn't arrived?,11,card_arrival
I got a notice from my app that I withdrew cash but I don't remember doing so. How do I fix this?,20,cash_withdrawal_not_recognised
I am required to make several disposable cards every day.,29,disposable_card_limits
The wait for this transfer seems to be taking a very long time.  It is very important that it goes through quickly. Can you please tell me how long it may take?,48,pending_transfer
"found card, how to put it back in app",13,card_linking
let me know how many disposable cards I can have?,29,disposable_card_limits
"I tried to withdraw cash, but got declined!",26,declined_cash_withdrawal
Is there a way to tell where the money came from?,70,verify_source_of_funds
I would like to know how my friend would be able to send me money,50,receiving_money
The transfer on my account is not showing up.,5,balance_not_updated_after_bank_transfer
"Looks like my card payment was made twice by mistake. I paid at the store earlier which rejected once, second time it worked. App stays at pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",63,transaction_charged_twice
Why am I unable to withdrawal cash?,26,declined_cash_withdrawal
I can't find my card!  What should I do?,41,lost_or_stolen_card
I need to stop a transaction that I made.,8,cancel_transfer
My account shows that I made a cash withdrawal but I cannot remember doing so!,20,cash_withdrawal_not_recognised
"I transferred money, but I think I've been charged a fee for it?",64,transfer_fee_charged
how long should I expect to wait for my card to arrive?,12,card_delivery_estimate
"Hae, I already completed my 3D secure authentication when I tried the crypto top up but it's still not working for me. I also don't understand what happened to the money in my account",61,top_up_reverted
Can you tell me whats going on with my card it seems to be not working?,14,card_not_working
What am I being charged an extra pound when I haven't bought something worth that much?,34,extra_charge_on_statement
A percentage fee was charged to my withdrawal.,19,cash_withdrawal_charge
What do I do after the ATM takes my card.,18,card_swallowed
What's the wait time for European transfers?,67,transfer_timing
how to get new card after atm eats it,18,card_swallowed
What is the fee on my statement for?,34,extra_charge_on_statement
My account balance doesn't reflect an update I made by cheque yesterday. Is something wrong or is the system slow?,6,balance_not_updated_after_cheque_or_cash_deposit
Why was I charged extra on my app?,34,extra_charge_on_statement
I am afraid to give you all my identify details.,74,why_verify_identity
"My PIN got blocked, help.",49,pin_blocked
Can you lookup my password?,44,passcode_forgotten
I think someone is using my card without my permission!,22,compromised_card
how come my transfer declined,27,declined_transfer
Why is my card payment still pending? It should have gone through already.,45,pending_card_payment
Is American Express accepted?,54,supported_cards_and_currencies
I need to report a stolen card,41,lost_or_stolen_card
Should my top-up be completed by now?,47,pending_top_up
What is the point of verifying a top up?,71,verify_top_up
Can you explain why I am now getting charged a fee for using my card?,15,card_payment_fee_charged
I need to update my demographics.,30,edit_personal_details
When do I set up my card PIN?,38,get_physical_card
Is there a charge for a physical card?,43,order_physical_card
Why am I being charged for ATM fees?,19,cash_withdrawal_charge
Please explain why my top-up hasn't been processed yet?,47,pending_top_up
"Transfers may show up as pending for up to one day while they are processed by one of our payment processors. Then, they will depart for the beneficiary accounts. Please also double-check that you have entered the correct account details. SEPA transfers can take up to two business days, and SWIFT transfers can take up to five business days.",48,pending_transfer
How long is a transfer in the pending status?,48,pending_transfer
How do I exchange currencies using the app?,33,exchange_via_app
What is the present state of the exchange rate?,32,exchange_rate
Is exchanging currencies a feature of the app?,33,exchange_via_app
Can you activate my card pls,0,activate_my_card
How do I activate my card to start using it?,0,activate_my_card
I still don't have a card. How do I get one?,43,order_physical_card
"Why can't I transfer my money into someone else's account? I should be able to do so right? Why does it keep rejecting my transfer? There's no reason, all my info is correct and the money is there.",35,failed_transfer
Why hasn't my ID been verified?,68,unable_to_verify_identity
The currency exchange rate was wrong for a purchase I made.,17,card_payment_wrong_exchange_rate
"My phone was stolen, what can I do?",42,lost_or_stolen_phone
how to get new card?,23,contactless_not_working
I need help with some transactions in my account that I dont recognize or remember purchasing. Im not sure if the name is just different or what. Should my card be put on hold while the issue gets figured out to be safe or is it ok?,16,card_payment_not_recognised
Is my new card activated?,0,activate_my_card
I would like to activate my card.,0,activate_my_card
I can't find the auto-top up option.,4,automatic_top_up
I have been overcharged.,63,transaction_charged_twice
"Hello, I didn't receive the right amount on my ATM transaction,  the app shows the correct amount how can we fix this",75,wrong_amount_of_cash_received
My card payment had the wrong exchange rate,17,card_payment_wrong_exchange_rate
is it possible to cancel transactions?,8,cancel_transfer
I think someone else is using my card.,22,compromised_card
"I was suppose to be getting a refund for something I purchased a while ago, but It still hasnt been applied to my account. When will I get my money back?",51,Refund_not_showing_up
the transfer to an account wasn't allowed is there any other way for me to do it,7,beneficiary_not_allowed
What is the process for unlocking the pin?,49,pin_blocked
"If I were to do a transfer, what is the rate for that?",56,top_up_by_bank_transfer_charge
Transfer declined.,27,declined_transfer
My identity verification isn't working,68,unable_to_verify_identity
I use this card all the time so why did it get declined at the store today?,25,declined_card_payment
Why did I get charged a fee for my transfer?,64,transfer_fee_charged
Are currency exchanges free?,31,exchange_charge
Can I get my friends to add money to my account?,62,topping_up_by_card
What source do my fund come from?,70,verify_source_of_funds
I need to reverse a transaction,8,cancel_transfer
I want to activate the card.,0,activate_my_card
There is an odd payment in my statement,16,card_payment_not_recognised
I think my card is broke it's not working anymore,14,card_not_working
Why did my payment go back to my account when I bought something?,53,reverted_card_payment?
Why have I been charged for pulling cash out of my own account?,19,cash_withdrawal_charge
How do I get a real card?,43,order_physical_card
Can I top up using my apple watch?,2,apple_pay_or_google_pay
What is the delivery time to the US?,12,card_delivery_estimate
Can I purchase with cash or cheque?,58,top_up_by_cash_or_cheque
Where can I find Mastercard ATMs?,3,atm_support
I need to get visa and mastercard,73,visa_or_mastercard
why is there a fee for a payment on my card?,15,card_payment_fee_charged
I entered the correct pin but I still couldnt get funds.,26,declined_cash_withdrawal
My card payment wasn't accepted.,25,declined_card_payment
Explain the payment that was declined!,25,declined_card_payment
I tried to make a transfer like five different times. Why won't your system let me? Is it broke?,35,failed_transfer
The machine only paid me a hundred when I wanted 20,75,wrong_amount_of_cash_received
Which countries does your service work in?,24,country_support
I already have a card and want to link it,13,card_linking
"If US cards have a top up charge, what is it?",57,top_up_by_card_charge
Will I have to pay extra to exchange money?,31,exchange_charge
How do I auto top-up?,4,automatic_top_up
How can I close my account?,55,terminate_account
I noticed that my card was charged more than once for one thing.,63,transaction_charged_twice
Where can I check to see if there will be a fee added to my payment? Are there specific instances that will result in a fee added?,15,card_payment_fee_charged
Can you transfer money to your card by bank transfer?,65,transfer_into_account
Is there a way to make my money usable in another country?,33,exchange_via_app
Do you convert to Euro?,36,fiat_currency_support
I've tried completing a very standard transfer and have already attempted it 5 times. What's going on here? Is there a problem with your system?,35,failed_transfer
Why won't my top up go through?,61,top_up_reverted
What is the timeframe for a transfer in Europe?,67,transfer_timing
Help me get the virtual card working.,72,virtual_card_not_working
Is my card activated?,0,activate_my_card
Does it cost extra to send out more than one card?,39,getting_spare_card
My transfer still says pending,48,pending_transfer
What should I do if my smart phone is lost or stolen?,42,lost_or_stolen_phone
Why should I verify the top-up?,71,verify_top_up
I need help from someone in your department with finding my nearest ATM.,3,atm_support
Where is the option to top up with a cheque?,58,top_up_by_cash_or_cheque
I don't remember my password,44,passcode_forgotten
Can you delete the account?,55,terminate_account
Explain the extra fee on my card when paying.,15,card_payment_fee_charged
I did a transfer.  What is the extra fee?,64,transfer_fee_charged
Why do I need to verify the top-up?,71,verify_top_up
What are the fiat currencies used?,36,fiat_currency_support
ATM withdrawal not working.,26,declined_cash_withdrawal
Can you elaborate on why I have an extra charge just for transferring?,64,transfer_fee_charged
I saw a payment come out of my account for a merchant I don't remember.,16,card_payment_not_recognised
"Hello, my transfers are getting failed continuously, in spite of the fact that all the recipient details are correct. Please advise.",27,declined_transfer
Why hasn't my payment gone through yet?,45,pending_card_payment
Why do transfers get declined?,27,declined_transfer
Why isn't the transfer to my account showing up?,5,balance_not_updated_after_bank_transfer
I'm waiting for my transaction to complete.,66,transfer_not_received_by_recipient
A withdraw I tried to make at the ATM was declined I don't know why.,26,declined_cash_withdrawal
Which merchants accept my card?,10,card_acceptance
Why is there a fee for my transfer?,64,transfer_fee_charged
Where do I go to activate my card?,0,activate_my_card
What do I do if my card has been lost or stolen?,41,lost_or_stolen_card
how long does it take for a transfer from Europe to go through?,67,transfer_timing
My statement has not shown my refund.,51,Refund_not_showing_up
Is it possible to order another card?,39,getting_spare_card
"I think my card is expiring, what happens then?",9,card_about_to_expire
"Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money.",46,pending_cash_withdrawal
"Can you point me in the right direction of where to go to roder a disposable virtual card, I can't seem to find it.",37,get_disposable_virtual_card
pending transaction?,45,pending_card_payment
When did I get a $1 extra fee on my statement?,34,extra_charge_on_statement
Is there a transaction limit on a disposable card?,29,disposable_card_limits
is there something blocking me from making transfers,7,beneficiary_not_allowed
"I tried to get money out of the Notting Hill ATM earlier, but I wasn't able to get anything out. Is there a problem with my card? It's the first time I tried using it.",26,declined_cash_withdrawal
Waiting for the cash I deposited this morning still,6,balance_not_updated_after_cheque_or_cash_deposit
"My money is gone. I had topped up recently and saw it was there and went through, but now it's disappeared, what's going on?",61,top_up_reverted
A receiver made me aware that they did not receive the full transfer that I made. The amount was showing to be a bit less. I now have to make a second transfer just to make up the difference. Can you reach out and let me know what's going on?,64,transfer_fee_charged
Why is my withdrawal wrong? I took out $100 but only received $20.,75,wrong_amount_of_cash_received
Why on earth do you need so much personal id info from me?,74,why_verify_identity
Do you have support for flat currencies?,36,fiat_currency_support
Are there any charges for European bank card for top up?,57,top_up_by_card_charge
"My identity isn't being accepted, what should I do?",68,unable_to_verify_identity
I can't make purchases with my virtual card.,72,virtual_card_not_working
Why hasn't payment gone through yet?,45,pending_card_payment
"I used to know my password, but not anymore.",44,passcode_forgotten
I am not satisfied with your service.  Close my account.,55,terminate_account
"I was overcharged at an ATM while on vacation. I needed cash so I had to use it, but your charges are outregous and I wish I would have known beforehand.",76,wrong_exchange_rate_for_cash_withdrawal
How can I fix this?  There is a double charge on my account.,63,transaction_charged_twice
Who do I call to cancel a transfer?,8,cancel_transfer
What is the handling fee for transfer?,56,top_up_by_bank_transfer_charge
How long will it take to urgently transfer something to China?,67,transfer_timing
I see some transactions that I don't recognize.  I think someone stole my details.,22,compromised_card
My payment came back for something i'm trying to buy online? it's been doing it for two weeks.  do you know what the issue is?,53,reverted_card_payment?
Do you have an age requirement when opening an account with your service?,1,age_limit
Is my card actually working? It's the first time I tried using it,26,declined_cash_withdrawal
What steps do I need to take to exchange currencies?,33,exchange_via_app
"My details need to be changed, how can I do so?",30,edit_personal_details
"My card is going to expire, what do I do?",9,card_about_to_expire
I am quite aggravated that I ordered online almost a month ago and I never got my package and I paid for it. I would really appreciate it if I could get a full refund back now.,52,request_refund
My payment was cancelled,53,reverted_card_payment?
I need immediate assistance in canceling a transfer which was a mistake. Please help me quickly so this does not go through.,8,cancel_transfer
how do i get a pin for my card,38,get_physical_card
should i contact customer support if i can't edit details,30,edit_personal_details
What do I do if my top-up has not gone through?,47,pending_top_up
Why can't I transfer to an account?,7,beneficiary_not_allowed
I see a direct debit that isn't mine? How can I get my money back?,28,direct_debit_payment_not_recognised
"Although I am not located in the UK area, may i still receive a card?",24,country_support
"If my account is low in funds, can I set an auto top-up?",4,automatic_top_up
I can't figure out how to transfer money into my account.,65,transfer_into_account
Will I get Visa or MasterCard?,73,visa_or_mastercard
How much can I top up on my card?,60,top_up_limits
What cards do you offer?,73,visa_or_mastercard
I made a purchase and was charged at the wrong foreign exchange rate.,17,card_payment_wrong_exchange_rate
What do I have to do to get the contactless to work?,23,contactless_not_working
I'm not sure how to complete the identity checks process.,69,verify_my_identity
What fiat currencies are used for holdings?,36,fiat_currency_support
I need to change my last name on my account because I just got married.,30,edit_personal_details
how can i add money to my account if you don't accept cash,58,top_up_by_cash_or_cheque
"Can Google Pay be used for top up, please help?",2,apple_pay_or_google_pay
What can I expect if I use bank transfer to top up my account?,65,transfer_into_account
How long will the transfer take?,48,pending_transfer
What is the source of your exchange rates?,32,exchange_rate
The exchange rate for foreign ATM currency is wrong.,76,wrong_exchange_rate_for_cash_withdrawal
Where do I find a virtual card?,40,getting_virtual_card
I have a pending money transfer,48,pending_transfer
"I've used my account frequently over the last month to manage my payments from abroad for my new place. I noticed that my fees have suddenly increased. As a frequent customer, shouldn't I be rewarded rather than suddenly being subject to a new fee?",64,transfer_fee_charged
"There is a pending payment on my account, what does this mean?",45,pending_card_payment
I need my refund,51,Refund_not_showing_up
"I did not receive my purchase, how do I cancel it?",52,request_refund
I withdrew cash and was charged,19,cash_withdrawal_charge
Is the exchange rate current?,32,exchange_rate
"I tried to top up, but it didn't finish.",47,pending_top_up
Why am I not allowed to verify my id?,68,unable_to_verify_identity
